Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Condition,Price
CHEVROLET,CRUZE,2006,1300.0,1,Petrol,209000.0,1.0,37.0
CHEVROLET,CRUZE,2004,1300.0,1,Petrol,231000.0,1.0,37.375
CHEVROLET,CRUZE,2002,1300.0,1,Petrol,253000.0,1.0,36.75
CHEVROLET,CRUZE,2004,1320.0,1,Petrol,231000.0,1.0,36.0
CHEVROLET,CRUZE,2004,1330.0,1,Petrol,231000.0,1.0,35.75
CHEVROLET,CRUZE,2006,1300.0,1,Petrol,209000.0,1.0,37.5
CHEVROLET,CRUZE,2003,1320.0,1,Petrol,242000.0,1.0,37.9
CHEVROLET,CRUZE,2004,1320.0,1,Petrol,231000.0,1.0,37.375
CHEVROLET,CRUZE,2004,1300.0,1,Petrol,231000.0,1.0,39.5
CHEVROLET,CRUZE,2004,1300.0,1,Petrol,231000.0,1.0,37.0
CHEVROLET,CRUZE,2004,1320.0,1,Petrol,231000.0,1.0,37.0
CHEVROLET,CRUZE,2002,1300.0,1,Petrol,253000.0,1.0,35.0
CHEVROLET,CRUZE,2003,1320.0,1,Petrol,242000.0,1.0,36.5
CHEVROLET,CRUZE,2003,1300.0,1,Petrol,242000.0,1.0,37.9
CHEVROLET,CRUZE,2004,1300.0,1,Petrol,231000.0,1.0,39.0
CHEVROLET,CRUZE,2002,1300.0,0,Petrol,253000.0,1.0,36.875
CHEVROLET,CRUZE,2003,1300.0,1,Petrol,242000.0,1.0,39.9
CHEVROLET,Other,2005,1300.0,1,Petrol,220000.0,1.0,35.0
CHEVROLET,Other,2004,1320.0,1,Petrol,231000.0,1.0,41.33125000000002
CHEVROLET,Other,2003,1300.0,1,Petrol,242000.0,1.0,37.9
CHEVROLET,Other,2005,1319.0,1,Petrol,220000.0,1.0,37.95
CHEVROLET,Other,2004,1300.0,1,Petrol,231000.0,1.0,39.5
CHEVROLET,Other,2004,1300.0,1,Petrol,231000.0,1.0,38.5
CHEVROLET,Other,2012,1200.0,0,Petrol,143000.0,1.0,325.0
CHEVROLET,Other,2007,1198.0,0,Petrol,198000.0,1.0,28.0
CHEVROLET,Other,2008,1300.0,0,Petrol,187000.0,1.0,25.0
Other,Other,1996,1500.0,0,Petrol,319000.0,1.0,9.85
Other,Other,1987,1234.0,0,Petrol,418000.0,1.0,4.25
Other,Other,2001,1500.0,0,Petrol,264000.0,1.0,19.75
Other,Other,2003,1500.0,1,Petrol,242000.0,1.0,30.0
Other,Other,2002,1500.0,0,Petrol,253000.0,1.0,18.5
Other,Other,2002,2000.0,1,Petrol,253000.0,1.0,20.0
Other,Other,2000,2198.0,0,Petrol,275000.0,1.0,13.5
Other,Other,1999,800.0,0,Petrol,286000.0,1.0,12.75
Other,Other,2001,800.0,1,Petrol,264000.0,1.0,17.75
Other,Other,2000,1568.0,1,Petrol,275000.0,1.0,17.95
Other,Other,1999,1500.0,0,Petrol,286000.0,1.0,20.25
Other,Other,2002,1499.0,1,Petrol,253000.0,1.0,16.5
Other,Other,1995,1500.0,0,Petrol,330000.0,1.0,9.25
Other,Other,1994,1500.0,0,Petrol,341000.0,1.0,10.0
Other,Other,1994,1500.0,0,Petrol,341000.0,1.0,12.75
